CryptoID,Date,Open,High,Low,Close,Adj Close,Volume
DOGE-GBP,2018-03-14,0.002831,0.002875,0.002451,0.002522,0.002522,5392190
DOGE-GBP,2018-03-15,0.002521,0.002591,0.002338,0.002537,0.002537,6685376
DOGE-GBP,2018-03-16,0.002542,0.002623,0.00247,0.002517,0.002517,4593240
DOGE-GBP,2018-03-17,0.002513,0.002545,0.002329,0.002365,0.002365,4467066
DOGE-GBP,2018-03-18,0.002352,0.002352,0.002,0.002288,0.002288,6476088
DOGE-GBP,2018-03-19,0.002294,0.002498,0.002257,0.002453,0.002453,5903808
DOGE-GBP,2018-03-20,0.002472,0.002664,0.002411,0.002607,0.002607,4740117
DOGE-GBP,2018-03-21,0.002607,0.002725,0.00255,0.002587,0.002587,4745845
DOGE-GBP,2018-03-22,0.002592,0.002632,0.002443,0.0025,0.0025,3692757
DOGE-GBP,2018-03-23,0.002504,0.002518,0.002361,0.002518,0.002518,4371395
DOGE-GBP,2018-03-24,0.002545,0.002637,0.002484,0.00254,0.00254,3156375
DOGE-GBP,2018-03-25,0.002511,0.00253,0.002447,0.002478,0.002478,2457472
DOGE-GBP,2018-03-26,0.002473,0.0025,0.002208,0.002311,0.002311,4258212
DOGE-GBP,2018-03-27,0.002301,0.002307,0.002185,0.002219,0.002219,3693333
DOGE-GBP,2018-03-28,0.002211,0.002293,0.002196,0.002231,0.002231,3488793
DOGE-GBP,2018-03-29,0.002252,0.00226,0.001965,0.002016,0.002016,4015225
DOGE-GBP,2018-03-30,0.002005,0.002056,0.001887,0.001973,0.001973,3840097
DOGE-GBP,2018-03-31,0.001965,0.002068,0.001927,0.002013,0.002013,2502506
DOGE-GBP,2018-04-01,0.002012,0.002048,0.001853,0.001937,0.001937,2403691
DOGE-GBP,2018-04-02,0.001946,0.002001,0.001925,0.001992,0.001992,3584194
DOGE-GBP,2018-04-03,0.001989,0.002129,0.001979,0.002118,0.002118,4704685
DOGE-GBP,2018-04-04,0.00212,0.002135,0.00193,0.001967,0.001967,3783808
DOGE-GBP,2018-04-05,0.001977,0.001983,0.001893,0.001938,0.001938,3448161
DOGE-GBP,2018-04-06,0.001939,0.001952,0.001869,0.001895,0.001895,2021354
DOGE-GBP,2018-04-07,0.001903,0.002033,0.001894,0.001988,0.001988,2153304
DOGE-GBP,2018-04-08,0.001977,0.002063,0.001977,0.002018,0.002018,2614038
DOGE-GBP,2018-04-09,0.002026,0.002075,0.001928,0.001955,0.001955,3416071
DOGE-GBP,2018-04-10,0.001952,0.002167,0.00194,0.002146,0.002146,7201763
DOGE-GBP,2018-04-11,0.002143,0.002463,0.002125,0.002394,0.002394,17827871
DOGE-GBP,2018-04-12,0.002378,0.002667,0.002296,0.002667,0.002667,9746260
DOGE-GBP,2018-04-13,0.002656,0.003015,0.002636,0.002805,0.002805,12746067
DOGE-GBP,2018-04-14,0.002779,0.002962,0.002756,0.002915,0.002915,9540660
DOGE-GBP,2018-04-15,0.002904,0.003239,0.002904,0.003209,0.003209,8331578
DOGE-GBP,2018-04-16,0.003221,0.003452,0.003065,0.003197,0.003197,15533966
DOGE-GBP,2018-04-17,0.0032,0.003399,0.00315,0.003318,0.003318,11989857
DOGE-GBP,2018-04-18,0.003297,0.00385,0.003293,0.003811,0.003811,15294838
DOGE-GBP,2018-04-19,0.0038,0.004136,0.003752,0.004136,0.004136,19182289
DOGE-GBP,2018-04-20,0.004143,0.004232,0.004062,0.004208,0.004208,16501749
DOGE-GBP,2018-04-21,0.004197,0.004203,0.003708,0.003865,0.003865,17855837
DOGE-GBP,2018-04-22,0.003886,0.004122,0.003804,0.003956,0.003956,13182558
DOGE-GBP,2018-04-23,0.003961,0.004094,0.003869,0.003934,0.003934,24094941
DOGE-GBP,2018-04-24,0.003939,0.004227,0.003935,0.004145,0.004145,26182377
DOGE-GBP,2018-04-25,0.004201,0.004231,0.003548,0.003655,0.003655,27467164
DOGE-GBP,2018-04-26,0.003681,0.00408,0.003512,0.004043,0.004043,29718115
DOGE-GBP,2018-04-27,0.004011,0.004163,0.003842,0.003933,0.003933,28269713
DOGE-GBP,2018-04-28,0.003891,0.004078,0.003855,0.003886,0.003886,26054842
DOGE-GBP,2018-04-29,0.003968,0.004032,0.003788,0.003965,0.003965,27517832
DOGE-GBP,2018-04-30,0.003926,0.004016,0.003731,0.003783,0.003783,26439007
DOGE-GBP,2018-05-01,0.003828,0.003829,0.00356,0.003781,0.003781,8567282
DOGE-GBP,2018-05-02,0.003759,0.00399,0.003703,0.003886,0.003886,36815328
DOGE-GBP,2018-05-03,0.003931,0.004163,0.00384,0.004157,0.004157,37203316
DOGE-GBP,2018-05-04,0.004077,0.004093,0.003845,0.003893,0.003893,10665140
DOGE-GBP,2018-05-05,0.003892,0.003951,0.003714,0.003828,0.003828,22414512
DOGE-GBP,2018-05-06,0.003844,0.003886,0.003491,0.003673,0.003673,24718720
DOGE-GBP,2018-05-07,0.00367,0.0037,0.003419,0.003551,0.003551,19085582
DOGE-GBP,2018-05-08,0.003563,0.003957,0.003547,0.003913,0.003913,30003025
DOGE-GBP,2018-05-09,0.003891,0.003932,0.003439,0.00376,0.00376,24782028
DOGE-GBP,2018-05-10,0.003562,0.003922,0.003352,0.003602,0.003602,25799615
DOGE-GBP,2018-05-11,0.003725,0.003726,0.002944,0.003221,0.003221,20371344
DOGE-GBP,2018-05-12,0.003286,0.003448,0.002893,0.003304,0.003304,20272821
DOGE-GBP,2018-05-13,0.003181,0.003413,0.002929,0.003195,0.003195,14632049
DOGE-GBP,2018-05-14,0.003321,0.003361,0.003112,0.003289,0.003289,9144996
DOGE-GBP,2018-05-15,0.003277,0.003553,0.003257,0.003345,0.003345,15613675
DOGE-GBP,2018-05-16,0.003315,0.003369,0.003156,0.003238,0.003238,7096072
DOGE-GBP,2018-05-17,0.003225,0.003304,0.003089,0.003101,0.003101,12817590
DOGE-GBP,2018-05-18,0.002958,0.003241,0.002778,0.002981,0.002981,10109091
DOGE-GBP,2018-05-19,0.003129,0.003286,0.002972,0.003181,0.003181,11137217
DOGE-GBP,2018-05-20,0.003154,0.003321,0.002899,0.003282,0.003282,11806100
DOGE-GBP,2018-05-21,0.003263,0.003295,0.002944,0.00318,0.00318,13741251
DOGE-GBP,2018-05-22,0.003136,0.003186,0.002846,0.002865,0.002865,7593527
