Date,Open,High,Low,Close,Adj Close,Volume
2018-07-10,0.105432,0.106122,0.097158,0.097158,0.097158,47011768
2018-07-11,0.097164,0.100999,0.095281,0.099563,0.099563,37997653
2018-07-12,0.099621,0.099644,0.093468,0.096517,0.096517,28552705
2018-07-13,0.096607,0.107111,0.095251,0.104207,0.104207,70116759
2018-07-14,0.104568,0.105722,0.101157,0.103606,0.103606,41582603
2018-07-15,0.103559,0.109969,0.102235,0.107562,0.107562,37913126
2018-07-16,0.107574,0.118467,0.106527,0.117958,0.117958,68438304
2018-07-17,0.117049,0.133185,0.113468,0.130411,0.130411,101847809
2018-07-18,0.129979,0.147782,0.129920,0.137171,0.137171,247278440
2018-07-19,0.136871,0.145914,0.131808,0.138906,0.138906,166639269
2018-07-20,0.138156,0.140295,0.123035,0.123440,0.123440,164155129
2018-07-21,0.123302,0.128513,0.118533,0.124552,0.124552,95901964
2018-07-22,0.124733,0.135343,0.124114,0.129547,0.129547,106005015
2018-07-23,0.128976,0.136493,0.125184,0.125184,0.125184,112242241
2018-07-24,0.125724,0.134488,0.123236,0.131710,0.131710,145565866
2018-07-25,0.131092,0.133301,0.126869,0.130887,0.130887,93694779
2018-07-26,0.130648,0.132610,0.124006,0.125708,0.125708,64303197
2018-07-27,0.125467,0.128697,0.119506,0.126280,0.126280,79100618
2018-07-28,0.126804,0.126804,0.122072,0.124632,0.124632,39356320
2018-07-29,0.125229,0.125694,0.122373,0.124571,0.124571,36094203
2018-07-30,0.124511,0.124502,0.113616,0.117319,0.117319,53001827
2018-07-31,0.117304,0.117386,0.106995,0.109237,0.109237,71035066
2018-08-01,0.109076,0.110632,0.104726,0.107361,0.107361,60947806
2018-08-02,0.107678,0.108582,0.100068,0.101384,0.101384,52659751
2018-08-03,0.100980,0.103703,0.095679,0.100158,0.100158,59799231
2018-08-04,0.100554,0.103492,0.096434,0.098075,0.098075,41966398
2018-08-05,0.097879,0.101491,0.096514,0.101324,0.101324,33770385
2018-08-06,0.100707,0.104967,0.099165,0.100883,0.100883,44459315
2018-08-07,0.101169,0.102788,0.096299,0.096862,0.096862,44284379
2018-08-08,0.097029,0.097021,0.087404,0.088344,0.088344,63847235
2018-08-09,0.088931,0.099143,0.088910,0.096294,0.096294,72521909
2018-08-10,0.096750,0.097424,0.089095,0.091137,0.091137,55710582
2018-08-11,0.091207,0.091383,0.085529,0.088070,0.088070,51551970
2018-08-12,0.088115,0.089952,0.087458,0.088548,0.088548,27458457
2018-08-13,0.088715,0.090749,0.080478,0.080669,0.080669,44661676
2018-08-14,0.080567,0.080567,0.068122,0.074449,0.074449,87843492
2018-08-15,0.075100,0.079529,0.074598,0.074876,0.074876,71966202
2018-08-16,0.074872,0.077640,0.073419,0.075004,0.075004,39487726
2018-08-17,0.075281,0.086189,0.074891,0.086166,0.086166,81211480
2018-08-18,0.086134,0.088197,0.076441,0.078244,0.078244,79553046
